,x,z,theta,u,w,Reward,,,x,z,theta,u,w,Reward,,,x,z,theta,u,w,Reward
-8,-34.09443556,0.918463099,-1.230636298,10.50532719,1.709142842,-0.9580411,,-8,-24.21966696,0.02869368,-0.002026131,1.991341403,0.724136423,0.000248301,,-8,-25.14107075,0.035620618,-0.246633837,3.355241698,2.374682159,0.35429987
-6,-11.87950956,0.085092538,-0.022318793,1.848494181,1.183971909,0.8485064,,-6,-9.18677371,0.116289016,0.008573184,1.763503927,1.311664631,0.26186067,,-6,-28.81463092,0.161154458,0.128280889,7.190015109,1.300913955,-0.092673175
-4,-3.527778866,0.080416451,0.15891891,1.68383874,2.630384706,0.90998435,,-4,0.080812085,0.031069168,-0.028025654,2.700122051,1.791527667,0.69647276,,-4,-33.2577526,0.900221573,-0.80643497,11.38141083,3.322691755,-1.0621521
-2,1.145243826,0.048299834,0.370267536,1.114307267,4.011117906,0.849335,,-2,0.232992781,0.125072581,0.005381052,2.288594338,3.939440505,0.5140973,,-2,-28.15206741,0.368817845,-0.234964707,10.98239837,2.428208288,-0.6506308
0,-4.625297186,0.249206415,0.208802826,2.614064294,4.673597689,0.74994093,,0,2.256439938,0.218010997,-0.018859573,3.719085049,4.108972054,0.34684777,,0,-9.002317943,0.478132037,0.11634763,1.825485538,5.398060327,0.6741292
,x,z,theta,u,w,,,,x,z,theta,u,w,,,,x,z,theta,u,w,
-8,-24.35222432,0.021928233,0.010110792,2.530934188,0.695103042,0.4704564,,-8,-25.78748817,0.031314677,-0.073148616,3.333672206,0.92439461,5.77E-05,,-8,-25.83069395,0.038351427,-0.068934141,3.529766324,1.346058669,0.35166988
-6,-12.07346231,0.018686837,0.2387843,1.282733198,1.317952642,0.85176426,,-6,-8.884620388,0.156751545,-0.102099826,1.252864231,1.730513847,0.21813539,,-6,-15.83011545,0.382873025,-0.329095107,5.143685789,2.677383857,0.5217373
-4,-2.16476766,0.052249919,0.087791693,2.22604553,2.301078328,0.9136303,,-4,-0.940532402,0.173757043,0.01875528,1.764425093,2.816125159,0.6815143,,-4,-29.11272392,0.551631948,-0.607701565,10.77302612,3.233022755,-0.7199123
-2,-4.355286115,0.031370452,0.275859287,1.542640214,3.847203044,0.84129083,,-2,-0.330654503,0.344825211,-0.003798482,2.40692374,4.06486595,0.4831739,,-2,-26.30834801,0.156917586,-0.276629174,11.05579708,2.439378424,-0.58529466
0,-0.726488471,0.171087843,0.356911311,1.576472597,4.845896917,0.7816196,,0,0.081674177,0.049672795,0.080320579,2.856745101,4.707791715,0.32409042,,0,-11.3660449,0.259728048,0.162033633,1.814808063,5.117833511,0.65861005
,x,z,theta,u,w,,,,x,z,theta,u,w,,,,x,z,theta,u,w,
-8,-22.85047316,0.125358373,-0.027878576,1.03436429,1.351914348,0.5590293,,-8,-23.01200839,0.016060555,-0.030843996,1.519149268,1.135426944,0.000550341,,-8,-25.26074991,0.160979782,-0.198521424,3.684587954,1.779525217,0.35239884
-6,-12.63083543,0.108754553,-0.083836532,1.749057621,1.258173295,0.83466023,,-6,-9.774901879,0.094159253,-0.011612646,1.771901779,1.491757403,0.22035252,,-6,-16.14052904,0.078864651,-0.20357686,5.03611022,2.298098473,0.54311687
-4,-8.522392133,0.128784942,0.217339691,1.059855863,3.014083395,0.85643893,,-4,-0.955549093,0.06267315,0.018678476,2.070900614,2.496784513,0.69475955,,-4,-30.73227554,0.416535411,-0.982671606,11.88910244,3.243538099,-1.0479388
-2,-6.451935876,0.046529073,0.486394433,0.565448018,4.02128376,0.81584626,,-2,-0.44329774,0.323842037,-0.027721113,2.466897124,3.921919864,0.48693186,,-2,-26.14871288,0.319039612,-0.367898198,11.53929156,2.067912972,-0.6573656
0,-6.477613568,0.203867816,0.230262095,1.170632607,5.380378142,0.7196067,,0,-0.288180462,0.214480158,0.05031461,2.960931945,4.859613702,0.33385885,,0,-8.942637149,0.321295093,0.165278089,1.368067204,5.58691318,0.6690738
,x,z,theta,u,w,,,,x,z,theta,u,w,,,,x,z,theta,u,w,
-8,-27.02415114,0.000792752,0.018460056,3.868392897,0.349453493,0.2950363,,-8,-2.43E+01,2.54E-02,-3.53E-02,2.28E+00,9.28E-01,0,,-8,-26.33164548,0.20824906,-0.19505146,4.192732444,1.644375125,0.27997345
-6,-11.92566945,0.041885502,0.051534893,1.362324044,1.409271746,0.85527307,,-6,-8.627642918,0.070010931,-0.018072314,1.694308855,1.266097973,0.30244154,,-6,-13.8238865,0.014118492,-0.051696167,4.274231529,1.029164617,0.6922803
-4,-3.819964133,0.218036408,0.052983872,1.834763671,2.649400544,0.9049782,,-4,-0.944121061,0.144476109,0.002623874,2.316775653,2.44817917,0.681515,,-4,-9.686610422,0.066623799,0.006835773,5.643054656,2.174419762,0.63235104
